menu_URL : http://localhost:8080/database/test-restore, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-14T02:00:26.650247900Z
menu_URL : http://localhost:8080/database/test-restore, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-14T02:00:39.027287300Z
menu_URL : http://localhost:8080/database/run_backup, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-14T02:04:26.112450300Z
menu_URL : http://localhost:8080/database/run_backup, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-14T02:04:29.107594300Z
menu_URL : http://localhost:8080/error, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-14T02:26:31.887344Z
menu_URL : http://localhost:8080/error, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-14T02:26:41.915942300Z
menu_URL : http://localhost:8080/database/list, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-14T04:24:41.647295600Z
menu_URL : http://localhost:8080/database/list, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-14T04:24:41.723832200Z
menu_URL : http://localhost:8080/database/list, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-14T04:29:06.618024Z
menu_URL : http://localhost:8080/database/list, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-14T04:29:06.692050800Z
menu_URL : http://localhost:8080/database/list, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-14T04:29:50.046560400Z
menu_URL : http://localhost:8080/database/list, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-14T04:29:50.057078Z
menu_URL : http://localhost:8080/error, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-14T04:29:50.075077400Z
menu_URL : http://localhost:8080/database/list, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-14T04:33:54.737708100Z
menu_URL : http://localhost:8080/database/list, user_id : GUEST, log_content : , created_by : SYSTEM, created_at : 2023-12-14T04:33:54.745727500Z
